CompanyName,Year_Founded,HeadQuarter,Founders,Investor,Industry,Head Quarter,Industry In,AboutCompany,Amount in ($),Funding_Round_Series
Krayonnz,2019,Bangalore,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,,Bangalore,EdTech,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,100000.0,Pre-seed
qZense,2019,Bangalore,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",,Bangalore,AgriTech,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,600000.0,Seed
MyClassboard,2008,Hyderabad,Ajay Sakhamuri,ICICI Bank.,,Hyderabad,EdTech,MyClassboard is a full-fledged School / College Management Software.,600000.0,Pre-series A
Rupeek,2015,Bangalore,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",,Bangalore,FinTech,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",45000000.0,Series C
Gig India,2017,Pune,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",,Pune,Crowdsourcing,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,1000000.0,Pre-series A
Slurrp Farm,2016,Gurgaon,Meghana Narayan,Fireside Ventures,,Gurgaon,Food & Bevarages,Slurrp Farm is a children health food brand.,2000000.0,Series A
Shiprocket,2017,New Delhi,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",,New Delhi,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,7500000.0,Series C
CoinDCX,2017,Mumbai,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",,Mumbai,FinTech,CoinDCX is a company that specializes in crypto-enabled financial services.,10000000.0,Series B
Arya,1982,Noida,"Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,,Noida,AgriTech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",21000000.0,Series B
Countingwell,2018,Bangalore,Nirmal Shah,"Delhi Private School, UAE, Interstar",,Bangalore,EdTech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",1000000.0,Pre-series A
Callify.ai,2016,Mumbai,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,,Mumbai,Tech Startup,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,560000.0,Seed
Cover it Up,2013,Chennai,Ronak Sarda,Angel investors,,Chennai,E-commerce,Online portal that churns out high quality products,400000.0,Seed
BiteSpeed,2019,Gurgaon,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,,Gurgaon,E-commerce,Chat-based commerce for E-commerce brands,275000.0,Seed
WakeFit,2016,Bangalore,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,,Bangalore,Retail,Wakefitkart is a mattress manufacturing company,20000000.0,Series B
PagarBook,2019,Bangalore,"Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",,Bangalore,Software company,"Staff's Salary, Work & Attendance Management Application",15000000.0,Series A
Infinite Uptime,2015,Pune,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",,Pune,IoT startup,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,5100000.0,Series B
HappyLocate,2016,Bangalore,"Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,,Bangalore,SaaS startup,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",500000.0,Pre-series A
Loop Health,2017,Pune,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",,Pune,HealthTech,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2300000.0,Seed
TagMango,2019,Mumbai,"Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",,Mumbai,Marketing company,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",700000.0,Seed
The New Shop,2019,New Delhi,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,,New Delhi,Retail startup,The New Shop is a chain of high speed retail stores,500000.0,Seed
BHIVE Investech,2014,Bangalore,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,,Bangalore,Co-working Startup,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,1000000.0,Seed
Bombay Play,2017,Bangalore,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",,Bangalore,Gaming startup,Bombay Play is a Card and Toy Company Making games for India.,1000000.0,Seed
Atomberg Technologies,2012,Mumbai,"Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",,Mumbai,Consumer appliances,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",9000000.0,Series B
DealShare,2018,Jaipur,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",,Jaipur,E-commerce,DealShare is a Social Commerce Startup,21000000.0,Series C
CueMath,2011,Bangalore,Manan Khurma,"Sequoia Capital India, CapitalG",,Bangalore,EdTech,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,40000000.0,Series C
5C Network,2014,Bangalore,Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",,Bangalore,HealthTech,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",1200000.0,Pre-series A
Ethereum Push Notification Service,2020,Mumbai,"Harsh Rajat, Richa Joshi",Prolific angel investors,,Mumbai,Blockchain startup,EPNS is a decentralized notification protocol,750000.0,Seed
Mihup,2016,Kolkata,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",,Kolkata,Conversational AI platform,Intelligence-based personal mobile assistant app,1500000.0,Series A
WayCool Foods,2015,Chennai,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",,Chennai,AgriTech,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",7800000.0,Debt
Infra.Market,2016,Thane,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,20000000.0,Series B
Clovia,2013,Noida,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",,Noida,E-commerce,Clovia is the online lingerie retailer,4000000.0,Pre-series C
