funding_year,company_name,founded_year,headquarters_city,headquarters_state,industry,about_company,founders,investor,amount_usd,funding_round
2018,&ME,,Bangalore,Karnataka,"Food and Beverage, Food Processing, Nutrition",Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,,,,Seed
2018,1Crowd,,Mumbai,Maharashtra,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,,,3500000.0,Angel
2018,6Degree,,Mumbai,Maharashtra,"Fashion, Lifestyle, Retail",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,,,400000.0,Seed
2018,9stacks,,Delhi,Delhi,"Online Games, Software",Online gaming startup.,,,3360000.0,Series A
2018,APAC Financial Services,,Mumbai,Maharashtra,"Finance, Financial Services",APAC Financial Services is a financial services platform.,,,30000000.0,Private Equity
2018,Aarav Unmanned Systems,,Bangalore,Karnataka,"Delivery, Drones, Geospatial, Robotics",Professional Drones for Enterprise Applications,,,,Seed
2018,Aashiyaan Housing and Development Finance,,Kolkata,West Bengal,Financial Services,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,,,1620000.0,Seed
2018,Aavas Financiers,,Jaipur,Rajasthan,"Finance, Financial Services","Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",,,24000000.0,Post-IPO Debt
2018,Acko General Insurance,,Mumbai,Maharashtra,"Financial Services, Insurance, Private Social Networking",Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,,,12000000.0,Series A
2018,Adiuvo Diagnostics,,Chennai,Tamil Nadu,Health Diagnostics,Adiuvo Diagnostics is a medical diagnostic device company based in India.,,,,Seed
2018,AgNext Technologies,,Mohali,Punjab,"Agriculture, Analytics, Big Data, Farming",AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders,,,,Series A
2018,Agricxlab Private Limited,,Thane,Maharashtra,"B2B, Farming, Marketplace",Online marketplace where farmers and traders can sell their produce to B2B buyers,,,500000.0,Seed
2018,Aldopay,,Chennai,Tamil Nadu,Mobile Payments,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,,,200000.0,Seed
2018,Ambee,,Bangalore,Karnataka,"Health Care, Medical Device, Public Safety",Ambee is an Environment analytics startup.,,,,Angel
2018,Antariksh Waste Ventures Pvt ltd,,Chennai,Tamil Nadu,"Internet of Things, Waste Management",Waste Management for Smart Cities,,,6000.0,Seed
2018,Any time Doctor,,Chennai,Tamil Nadu,Software,Anytime Doctor is a Software company.,,,,Angel
2018,AppWharf,,New Delhi,Delhi,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,,,,Seed
2018,Arogya MedTech,,Kolkata,West Bengal,"Health Care, Medical",Arogya MedTech is a Research & Development organization in Bio-Medical industry.,,,180000.0,Seed
2018,Articbot,,Kannur,Kerala,"Artificial Intelligence, Information Technology",Articbot is a conversational AI platform for automated customer support and lead generation,,,14400.0,Grant
2018,Asset Reconstruction Company (India) Ltd.,,Mumbai,Maharashtra,"Financial Services, Professional Services",Asset Reconstruction Company (India) Ltd. operates as a asset reconstruction company.,,,,Secondary Market
2018,Asteria Aerospace,,Bangalore,Karnataka,Aerospace,Asteria Aerospace is a robotics and artificial intelligence company.,,,,Seed
2018,AuthMetrik,,Gurugram,Haryana,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security","SaaS, B2B, Security, Stop account sharing, Fraud Detection",,,10000.0,Grant
2018,Avail Finance,,Bangalore,Karnataka,"Finance, FinTech, Mobile Payments",Avail is a mobile-first platform aiming to financially include the urban mass of India.,,,17200000.0,Series A
2018,Avenues Payments India Pvt. Ltd.,,Mumbai,Maharashtra,â,Avenues Payments is an IT solutions provider for the remittance\money transfer and forex industries.,,,1300000.0,Corporate Round
2018,Aviom India Housing Finance,,New Delhi,Delhi,Finance,Delhi based housing finance company.,,,1800000.0,Series A
2018,Avishkaar Box,,Delhi,Delhi,"Children, Education, Parenting","Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",,,600000.0,Seed
2018,Awaaz De,,Ahmedabad,Gujarat,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,,,,Angel
2018,Awign Enterprises,,Bangalore,Karnataka,"Business Development, Market Research, Outsourcing",Operations and manpower outsourcing startup,,,600000.0,Seed
2018,Aye Finance,,Gurugram,Haryana,"Finance, Financial Services, Small and Medium Businesses",Aye Finance provides financial services to micro and small businesses in Northern India.,,,864000.0,Debt Financing
2018,Azure Power,,New Delhi,Delhi,"Energy, Renewable Energy, Solar","Azure Power produces and distributes solar power to commercial, government, and utility customers in India.",,,185000000.0,Post-IPO Equity
2018,BIGPHI TECHNOLOGIES PVT. LTD.,,Bangalore,Karnataka,Fashion,BIGPHI technologies is the India's first technologically advanced apparel and wearable company.,,,900000.0,Angel
2018,BUGWORKS Research India,,Bangalore,Karnataka,"Biotechnology, Life Science, Pharmaceutical, Product Research",BUGWORKS is a drug discovery company.,,,9000000.0,Series A
2018,BYJUâS,,Bangalore,Karnataka,"EdTech, Education, Higher Education, Secondary Education",BYJUâs is an edtech company that is reinventing how students learn through its learning app.,,,540000000.0,Private Equity
2018,BabyChakra,,Mumbai,Maharashtra,"Child Care, Information Technology",BabyChakra is India's largest & most loved platform to discover the right maternity and childcare.,,,,Series B
2018,Backpacker Panda Holidays Private Limited,,Pune,Maharashtra,"Tourism, Travel",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,,,1400000.0,Series A
2018,Be U Salons,,New Delhi,Delhi,"Apps, Beauty, Consumer, Retail",Be U is India's first subscription based Salon Chain.,,,360000.0,Seed
2018,Belstar Investment and Finance Private Limited,,Chennai,Tamil Nadu,"Financial Services, Micro Lending",Belstar Investment and Finance Private Limited is a provider of scalable microfinance services to entrepreneurs.,,,28000000.0,Venture - Series Unknown
2018,Benepik,,Gurugram,Haryana,Human Resources,HR Technology start-up.,,,,Seed
2018,BetterPlace Safety Solutions Pvt. Ltd.,,Bangalore City,Karnataka,"Human Resources, Security, Training","BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",,,3000000.0,Series A
2018,BhaskarGuru,,Bhopal,Madhya Pradesh,Search Engine,Bhaskarguru.com is your local search Engine,,,1000000.0,Seed
2018,Billdesk,,Ahmedabad,Gujarat,"Finance, FinTech, Payments, Property Development, Rental","BillDesk, a property of IndiaIdeas.com Ltd. was conceived in early 2000 to solve the frustrations of most of us when it comes to paying",,,,Venture - Series Unknown
