Head Quarter,deals,total_funding,average_funding,median_funding
Bengaluru,507,13673732296.0,26969886.185404338,4000000.0
Mumbai,231,4476647400.0,19379425.974025972,3000000.0
Gurugram,185,3751504600.0,20278403.243243244,3000000.0
New Delhi,158,2464160200.0,15595950.632911392,2000000.0
Pune,50,1065367345.0,21307346.9,2000000.0
Chennai,58,757142600.0,13054182.75862069,3900000.0
Unknown,16,734842700.0,45927668.75,5650000.0
Haryana,15,678544000.0,45236266.666666664,8000000.0
Noida,37,280910000.0,7592162.162162162,2000000.0
Thane,9,259225000.0,28802777.777777776,5000000.0
Jaipur,21,251055000.0,11955000.0,2250000.0
Kalpakkam,1,210000000.0,210000000.0,210000000.0
Hyderabad,39,209636800.0,5375302.564102564,1000000.0
Ahmedabad,14,209525500.0,14966107.142857144,1900000.0
Berlin,1,170000000.0,170000000.0,170000000.0
San Ramon,1,150000000.0,150000000.0,150000000.0
San Francisco,5,113500000.0,22700000.0,25000000.0
California,3,78300000.0,26100000.0,2000000.0
Information Technology & Services,1,75000000.0,75000000.0,75000000.0
Kolkata,14,60600000.0,4328571.428571428,1560000.0
San Francisco Bay Area,1,55000000.0,55000000.0,55000000.0
Kormangala,3,51080000.0,17026666.666666668,960000.0
Rajasthan,1,33000000.0,33000000.0,33000000.0
Banglore,1,32000000.0,32000000.0,32000000.0
Patna,1,30000000.0,30000000.0,30000000.0
Guindy,1,30000000.0,30000000.0,30000000.0
Gujarat,6,24100000.0,4016666.6666666665,2250000.0
Chandigarh,2,23500000.0,11750000.0,11750000.0
Alleppey,1,22000000.0,22000000.0,22000000.0
Bangaldesh,1,22000000.0,22000000.0,22000000.0
Faridabad,2,19500000.0,9750000.0,9750000.0
Tangerang,1,12000000.0,12000000.0,12000000.0
Singapore,3,11480000.0,3826666.6666666665,3400000.0
Telangana,2,10000000.0,5000000.0,5000000.0
Bangkok,1,9000000.0,9000000.0,9000000.0
New York,2,8500000.0,4250000.0,4250000.0
Bhilwara,1,8000000.0,8000000.0,8000000.0
Coimbatore,3,6650000.0,2216666.6666666665,250000.0
Indore,6,5344000.0,890666.6666666666,750000.0
Samastipur,1,5000000.0,5000000.0,5000000.0
Bangalore City,5,4878000.0,975600.0,528000.0
Andheri,3,4300000.0,1433333.3333333333,1300000.0
Ghaziabad,2,4050000.0,2025000.0,2025000.0
Kochi,3,3900000.0,1300000.0,1400000.0
Plano,1,3000000.0,3000000.0,3000000.0
Samsitpur,1,3000000.0,3000000.0,3000000.0
Ahmadabad,2,2800000.0,1400000.0,1400000.0
Kanpur,2,1880000.0,940000.0,940000.0
Surat,2,1600000.0,800000.0,800000.0
Telugana,1,1500000.0,1500000.0,1500000.0
Seoul,1,1400000.0,1400000.0,1400000.0
Margão,1,1230000.0,1230000.0,1230000.0
Seattle,1,1100000.0,1100000.0,1100000.0
Bhopal,2,1020000.0,510000.0,510000.0
India,2,1020000.0,510000.0,510000.0
Silvassa,1,1000000.0,1000000.0,1000000.0
Uttar pradesh,1,1000000.0,1000000.0,1000000.0
Panaji,1,1000000.0,1000000.0,1000000.0
Small Towns,1,800000.0,800000.0,800000.0
Belgaum,1,720000.0,720000.0,720000.0
Jodhpur,2,660000.0,330000.0,330000.0
Goa,2,648000.0,324000.0,324000.0
Mylapore,1,600000.0,600000.0,600000.0
Irvine,1,500000.0,500000.0,500000.0
Food & Beverages,1,461000.0,461000.0,461000.0
Powai,1,400000.0,400000.0,400000.0
Uttar Pradesh,1,360000.0,360000.0,360000.0
Nagpur,1,350000.0,350000.0,350000.0
Bihar,1,329000.0,329000.0,329000.0
Trivandrum,1,300000.0,300000.0,300000.0
Gandhinagar,1,200000.0,200000.0,200000.0
Cochin,1,200000.0,200000.0,200000.0
The Nilgiris,1,200000.0,200000.0,200000.0
Kalkaji,1,192000.0,192000.0,192000.0
Guntur,1,130000.0,130000.0,130000.0
Ranchi,1,100000.0,100000.0,100000.0
Kannur,1,14400.0,14400.0,14400.0
Kota,1,1200.0,1200.0,1200.0
