Industry In,2018,2019,2020,2021
AI,0.0,31000000.0,7580000.0,0.0
AI & Tech,0.0,20000000.0,0.0,0.0
AI Chatbot,0.0,0.0,0.0,7500000.0
AI Company,0.0,0.0,6000000.0,0.0
AI Platform,0.0,0.0,8000000.0,0.0
AI company,0.0,0.0,0.0,5000000.0
AI startup,0.0,0.0,155600000.0,44700000.0
API platform,0.0,0.0,4050000.0,0.0
AR platform,0.0,0.0,7000000.0,0.0
AR startup,0.0,0.0,800000.0,0.0
AR/VR startup,0.0,0.0,1000000.0,0.0
Accomodation,0.0,12700000.0,0.0,0.0
"Accounting, Apps, FinTech",48000000.0,0.0,0.0,0.0
"Accounting, Business Information Systems, Business Travel, Finance, SaaS",1100000.0,0.0,0.0,0.0
Advertisement,0.0,0.0,0.0,1800000.0
"Advertising, Human Resources, Marketing",528000.0,0.0,0.0,0.0
"Advertising, Internet, Marketing",120000.0,0.0,0.0,0.0
Aeorspace,0.0,0.0,0.0,1800000.0
Aerospace,240000000.0,0.0,0.0,0.0
"AgTech, B2B, Supply Chain Management",30000000.0,0.0,0.0,0.0
Agri tech,0.0,0.0,500000.0,0.0
AgriTech,0.0,21300000.0,213600000.0,202100000.0
Agriculture,0.0,0.0,20000000.0,0.0
"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",120000.0,0.0,0.0,0.0
"Agriculture, Farming",480000.0,0.0,0.0,0.0
"Agriculture, Mobile",6960000.0,0.0,0.0,0.0
Agritech,0.0,0.0,45329000.0,0.0
Agritech startup,0.0,0.0,5060000.0,0.0
"Air Transportation, Freight Service, Logistics, Marine Transportation",6000000.0,0.0,0.0,0.0
Analytics,0.0,0.0,0.0,4000000.0
"Analytics, Apps, Market Research",1100000.0,0.0,0.0,0.0
"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",230400.0,0.0,0.0,0.0
"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",300000.0,0.0,0.0,0.0
"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",2000000.0,0.0,0.0,0.0
Apparel & Fashion,0.0,0.0,0.0,23200000.0
"Apps, Beauty, Consumer, Retail",360000.0,0.0,0.0,0.0
"Apps, E-Commerce, Internet",11000000.0,0.0,0.0,0.0
"Apps, E-Commerce, Internet, Mobile, Ride Sharing, Transportation",50000000.0,0.0,0.0,0.0
"Apps, Events, News",1000000.0,0.0,0.0,0.0
"Apps, Financial Services, FinTech",1000000.0,0.0,0.0,0.0
"Apps, Fitness, Health Care, mHealth",6000000.0,0.0,0.0,0.0
"Apps, Health Care, Internet, Mobile Apps, Personal Health",300000.0,0.0,0.0,0.0
"Apps, Health Care, Pharmaceutical",105000.0,0.0,0.0,0.0
"Apps, Home Services, Information Services, Information Technology",50000000.0,0.0,0.0,0.0
"Apps, Information Services, Information Technology",7800000.0,0.0,0.0,0.0
"Apps, Messaging, Navigation, Public Safety",1700000.0,0.0,0.0,0.0
"Apps, Mobile, Transportation",1000000.0,0.0,0.0,0.0
"Apps, Payments, Retail",4080000.0,0.0,0.0,0.0
Artificial Intelligence,100000.0,0.0,0.0,0.0
"Artificial Intelligence, Cloud Computing, Video",4104000.0,0.0,0.0,0.0
"Artificial Intelligence, Computer, Machine Learning",1100000.0,0.0,0.0,0.0
"Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",20000.0,0.0,0.0,0.0
"Artificial Intelligence, Energy, Oil and Gas",3300000.0,0.0,0.0,0.0
"Artificial Intelligence, Human Resources, Information Services, Information Technology",2000000.0,0.0,0.0,0.0
"Artificial Intelligence, Information Technology",14400.0,0.0,0.0,0.0
