CompanyName,Year Founded,Funding Year,Founded Imputed,Head Quarter,Industry In,AboutCompany,Founders,Investor,Amount in ($),Funding Round/Series
TheCollegeFever,2018,2018,True,Bengaluru,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing","TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Unknown,Unknown,250000.0,Seed
Happy Cow Dairy,2018,2018,True,Mumbai,"Agriculture, Farming",A startup which aggregates milk from dairy farmers in rural Maharashtra.,Unknown,Unknown,480000.0,Seed
MyLoanCare,2018,2018,True,Gurugram,"Credit, Financial Services, Lending, Marketplace",Leading Online Loans Marketplace in India,Unknown,Unknown,780000.0,Series A
PayMe India,2018,2018,True,Noida,"Financial Services, FinTech",PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,Unknown,Unknown,2000000.0,Angel
Hasura,2018,2018,True,Bengaluru,"Cloud Infrastructure, PaaS, SaaS","Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Unknown,Unknown,1600000.0,Seed
Tripshelf,2018,2018,True,Kalkaji,"Internet, Leisure, Marketplace",Tripshelf is an online market place for holiday packages.,Unknown,Unknown,192000.0,Seed
Hyperdata.IO,2018,2018,True,Hyderabad,Market Research,Hyperdata combines advanced machine learning with human intelligence.,Unknown,Unknown,600000.0,Angel
Pitstop,2018,2018,True,Bengaluru,"Automotive, Search Engine, Service Industry",Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Unknown,Unknown,1200000.0,Seed
Mihuru,2018,2018,True,Mumbai,"Finance, Internet, Travel",Mihuru is an online platform which gives micro loans for air travel .,Unknown,Unknown,150000.0,Seed
Fyle,2018,2018,True,Bengaluru,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Fyle is an intelligent expense management platform for enterprises.,Unknown,Unknown,1100000.0,Seed
Antariksh Waste Ventures Pvt ltd,2018,2018,True,Chennai,"Internet of Things, Waste Management",Waste Management for Smart Cities,Unknown,Unknown,6000.0,Seed
Cogoport,2018,2018,True,Mumbai,"Air Transportation, Freight Service, Logistics, Marine Transportation",Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Unknown,Unknown,6000000.0,Series A
PaisaDukan,2018,2018,True,Mumbai,Financial Services,A P2P lending marketplace platform,Unknown,Unknown,650000.0,Seed
Sleepy Owl Coffee,2018,2018,True,New Delhi,Food and Beverage,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",Unknown,Unknown,420000.0,Seed
BlueJack,2018,2018,True,New Delhi,Autonomous Vehicles,Delhi-based online used vehicles marketplace.,Unknown,Unknown,768000.0,Seed
Pando,2018,2018,True,Chennai,"Logistics, Supply Chain Management",A startup which digitizes logistics operations for Fortune 500 companies.,Unknown,Unknown,2000000.0,Seed
Mintifi,2018,2018,True,Mumbai,"Financial Services, Lending",Online lending startup based in Mumbai.,Unknown,Unknown,2000000.0,Seed
Carcrew,2018,2018,True,Mumbai,"Automotive, Marketplace, Online Portals",India's Online Auto Repair Marketplace,Unknown,Unknown,2000000.0,Seed
Chariot Tech,2018,2018,True,New Delhi,"Internet of Things, Telecommunications",Chariot Tech is an Internet of Things (IoT) startup based in New Delhi.,Unknown,Unknown,240000.0,Seed
Ideal Insurance Brokers/ 121Policy.com,2018,2018,True,Kolkata,Insurance,Ideal Insurance Broking is one of the leaders in insurance broking domain.,Unknown,Unknown,1000000.0,Seed
Mojro Technologies,2018,2018,True,Bengaluru,"Information Technology, Logistics, Supply Chain Management",Mojro envisions to be the world's largest technology-enabled logistics platform.,Unknown,Unknown,650000.0,Seed
Elemential,2018,2018,True,Mumbai,"Blockchain, Developer Tools, Enterprise Software","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",Unknown,Unknown,1000000.0,Seed
Loadshare,2018,2018,True,Bengaluru,"Industrial Automation, Logistics, Supply Chain Management",LoadShare is India’s fastest growing logistics company,Unknown,Unknown,5000000.0,Series A
Yumlane,2018,2018,True,Mumbai,"Food and Beverage, Food Delivery, Snack Food",Food startup Yumlane operated by QwikPik Technology,Unknown,Unknown,4000000.0,Series A
Kriger Campus,2018,2018,True,New Delhi,Education,A Education Start Up.,Unknown,Unknown,360000.0,Seed
Pipa+Bella,2018,2018,True,Mumbai,"E-Commerce, Fashion, Jewelry, Retail",Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,Unknown,Unknown,1000000.0,Series A
Kaleidofin,2018,2018,True,Chennai,Financial Services,A fintech platform.,Unknown,Unknown,2800000.0,Seed
IndigoLearn,2018,2018,True,Hyderabad,"E-Learning, Education",India's the premier education destination catering to the needs of aspiring students of the CA community.,Unknown,Unknown,150000.0,Seed
UClean,2018,2018,True,India,"Clean Energy, CleanTech, Laundry and Dry-cleaning",UClean is a tech enabled laundry service provider.,Unknown,Unknown,480000.0,Seed
Coutloot,2018,2018,True,Mumbai,"E-Commerce, Fashion, Mobile",The Fashion Re-commerce platform.,Unknown,Unknown,1000000.0,Seed
