CompanyName,Year Founded,Funding Year,Founded Imputed,Head Quarter,Industry In,AboutCompany,Founders,Investor,Amount in ($),Funding Round/Series
Happy Cow Dairy,2018,2018,True,Mumbai,"Agriculture, Farming",A startup which aggregates milk from dairy farmers in rural Maharashtra.,Unknown,Unknown,480000.0,Seed
Mihuru,2018,2018,True,Mumbai,"Finance, Internet, Travel",Mihuru is an online platform which gives micro loans for air travel .,Unknown,Unknown,150000.0,Seed
Sleepy Owl Coffee,2018,2018,True,New Delhi,Food and Beverage,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",Unknown,Unknown,420000.0,Seed
BlueJack,2018,2018,True,New Delhi,Autonomous Vehicles,Delhi-based online used vehicles marketplace.,Unknown,Unknown,768000.0,Seed
Mojro Technologies,2018,2018,True,Bengaluru,"Information Technology, Logistics, Supply Chain Management",Mojro envisions to be the world's largest technology-enabled logistics platform.,Unknown,Unknown,650000.0,Seed
Elemential,2018,2018,True,Mumbai,"Blockchain, Developer Tools, Enterprise Software","Blockchain Development Platform To Design, Run & Scale Blockchain Networks.",Unknown,Unknown,1000000.0,Seed
Kaleidofin,2018,2018,True,Chennai,Financial Services,A fintech platform.,Unknown,Unknown,2800000.0,Seed
Chai Kings,2018,2018,True,Chennai,"Food and Beverage, Tea",Chai Kings is a tea retail chain,Unknown,Unknown,240000.0,Seed
ONGO Framework,2018,2018,True,Hyderabad,"B2B, Information Services, Information Technology",ONGO Framework is a B2B IT and digital solution provider.,Unknown,Unknown,1000000.0,Angel
Propshop24,2018,2018,True,Mumbai,E-Commerce,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",Unknown,Unknown,500000.0,Seed
Wimoxez,2018,2018,True,Hyderabad,Internet,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",Unknown,Unknown,20000.0,Seed
Design Cafe,2018,2018,True,Bengaluru,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home","Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",Unknown,Unknown,24000000.0,Series B
FeedMyPockets,2018,2018,True,Bangalore City,"Advertising, Human Resources, Marketing",On Demand Staffing Platform,Unknown,Unknown,528000.0,Seed
BYJU’S,2018,2018,True,Bengaluru,"EdTech, Education, Higher Education, Secondary Education",BYJU’s is an edtech company that is reinventing how students learn through its learning app.,Unknown,Unknown,540000000.0,Private Equity
Roposo,2018,2018,True,Gurugram,"Internet, Social Network, TV",Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,Unknown,Unknown,10000000.0,Series C
Boodmo,2018,2018,True,Gurugram,"Automotive, Retail",boodmo.com - large online marketplace for auto parts in India.,Unknown,Unknown,840000.0,Seed
Forum for Innovation Incubation Research and Entrepreneurship,2018,2018,True,Margão,"Funding Platform, Incubators, Non Profit","FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",Unknown,Unknown,1230000.0,Grant
ION Energy,2018,2018,True,Mumbai,"Energy, Energy Storage, Infrastructure",A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,Unknown,Unknown,1041000.0,Venture - Series Unknown
Avishkaar Box,2018,2018,True,New Delhi,"Children, Education, Parenting","Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",Unknown,Unknown,600000.0,Seed
HyperXchange,2018,2018,True,Pune,"E-Commerce, Mobile, Sharing Economy",hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,Unknown,Unknown,1000000.0,Series A
Pandorum Technologies,2018,2018,True,Bengaluru,Biotechnology,Bengaluru based biotech startup.,Unknown,Unknown,3600000.0,Series A
Eduvanz,2018,2018,True,Mumbai,"Finance, Financial Services","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",Unknown,Unknown,500000.0,Angel
Emflux Motors,2018,2018,True,Bengaluru,"Automotive, Electric Vehicle, Energy",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,Unknown,Unknown,364846.0,Seed
6Degree,2018,2018,True,Mumbai,"Fashion, Lifestyle, Retail",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,Unknown,Unknown,400000.0,Seed
Chezuba,2018,2018,True,Hyderabad,"Internet, Social Entrepreneurship",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,Unknown,Unknown,16800.0,Angel
Wealthtrust,2018,2018,True,Mumbai,"Finance, Impact Investing, Mobile Apps",Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,Unknown,Unknown,500000.0,Seed
Awign Enterprises,2018,2018,True,Bengaluru,"Business Development, Market Research, Outsourcing",Operations and manpower outsourcing startup,Unknown,Unknown,600000.0,Seed
MY CHIRAAG CAB,2018,2018,True,Jaipur,Travel,MY CHIRAAG CAB SERVICES PVT LTD,Unknown,Unknown,1000000.0,Seed
Flathalt,2018,2018,True,Gurugram,—,FInd your Customized Home here.,Unknown,Unknown,50000.0,Angel
dishq,2018,2018,True,Bengaluru,—,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,Unknown,Unknown,400000.0,Seed
