Founded_scaled,RoundSeries_scaled,Head Quarter,Industry In,AboutCompany,Amount in ($)
-0.6913904444435626,-0.21241634987467914,4,105,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,100000.0
-0.15490523344274093,-0.6424553327092013,4,13,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,600000.0
0.9180651885589024,-0.6424553327092013,,,,
0.3815799775580807,0.6476616157943651,,,,
1.1863077940593132,-0.21241634987467914,45,77,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,1000000.0
0.6498225830584915,-0.6424553327092013,22,133,Slurrp Farm is a children health food brand.,2000000.0
0.9180651885589024,-0.6424553327092013,37,96,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,7500000.0
0.3815799775580807,-0.21241634987467914,35,124,CoinDCX is a company that specializes in crypto-enabled financial services.,10000000.0
-0.6913904444435626,1.5077395814634094,40,13,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",21000000.0
-0.4231478389431518,1.5077395814634094,4,105,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",1000000.0
-0.6913904444435626,1.5077395814634094,,,,
0.6498225830584915,-0.6424553327092013,12,96,Online portal that churns out high quality products,400000.0
-0.4231478389431518,1.0777005986288872,22,96,Chat-based commerce for E-commerce brands,275000.0
0.3815799775580807,-1.5025332983782456,4,236,Wakefitkart is a mattress manufacturing company,20000000.0
0.9180651885589024,0.217622632959843,4,255,"Staff's Salary, Work & Attendance Management Application",15000000.0
-0.4231478389431518,0.217622632959843,45,189,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,5100000.0
-2.8373312884468493,2.3678175471324536,4,241,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",500000.0
0.6498225830584915,-0.21241634987467914,45,155,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2300000.0
1.1863077940593132,-0.6424553327092013,35,205,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",700000.0
0.11333737205766989,0.217622632959843,37,238,The New Shop is a chain of high speed retail stores,500000.0
